Ticket_ID,Date,Machine,Description
1,2023-01-01,Hidraulikus prés-10,A vészjelző rendszer váratlan hibát jelzett.
2,2023-01-01,Hegesztő-MAX,A kenőrendszer olajszintje az alsó határérték alá csökkent.
3,2023-01-01,Robot 2,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
4,2023-01-02,Optikai Mérő-2,Hirtelen áramfelvétel-növekedés figyelhető meg.
5,2023-01-02,Lézeres Vágó-Pro,A csapágyak extrém kopást mutatnak.
6,2023-01-02,Robot X,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
7,2023-01-03,Szenzorvezérlő-3,A csatlakozók oxidációs nyomokat mutatnak.
8,2023-01-03,Szenzorvezérlő-1,A szinkronizáció megszakadt a vezérlőegységek között.
9,2023-01-03,Présgép-9,Rendellenes rezgés működés közben.
10,2023-01-04,Optikai Mérő-2,A szinkronizáció megszakadt a vezérlőegységek között.
11,2023-01-04,Maró-8,Kopott fogaskerék cseréje szükséges.
12,2023-01-04,Robot 2,Rendellenes rezgés működés közben.
13,2023-01-05,CNC-Micro,A süllyesztő mechanizmus belső csapágyai sérültek.
14,2023-01-05,Szenzorvezérlő-Beta,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
15,2023-01-05,Fúró-5,Törött tömítés az olajtartályon.
16,2023-01-06,Optikai Mérő-X,A PLC vezérlőegység áramszünet miatt újraindult.
17,2023-01-06,CNC-3,A motor túlmelegedett és leállt.
18,2023-01-06,Emelőkar-3,Az alkatrész érzékelő hibás adatokat továbbít.
19,2023-01-07,CNC-Pro,Túlzott zaj a fogaskerék mechanizmusból.
20,2023-01-07,Fúró-5,Az érzékelők jelzése nem egyezik a valós pozícióval.
21,2023-01-07,Lézeres Vágó-Pro,A lánchajtás mechanikai deformációt szenvedett.
22,2023-01-08,Maró-Z,A hőmérséklet-szabályozó egység hibás jeleket küld.
23,2023-01-08,Lézeres Vágó-Pro,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
24,2023-01-08,Hegesztő-XL,A robotkar mozgása akadozik.
25,2023-01-09,Robot X,A szállítószalag lánca megszakadt.
26,2023-01-09,Optikai Mérő-2,A szinkronizáció megszakadt a vezérlőegységek között.
27,2023-01-09,Szenzorvezérlő-1,Laza csatlakozás a fő tápbemeneten.
28,2023-01-10,Maró-2,A pneumatikus rendszer tömítetlenséget mutat.
29,2023-01-10,Lézeres Vágó-Pro,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
30,2023-01-10,Présgép-Plus,A rendszer kritikus memóriahibát észlelt.
31,2023-01-11,Robot Delta,Alacsony hidraulikus nyomás észlelve.
32,2023-01-11,Optikai Mérő-2,A vészjelző rendszer váratlan hibát jelzett.
33,2023-01-11,Optikai Mérő-Delta,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
34,2023-01-12,CNC-3,A csapágyak extrém kopást mutatnak.
35,2023-01-12,CNC-3,Az elektrohidraulikus szelep elakadt működés közben.
36,2023-01-12,Hidraulikus prés-Y,A szállítószalag lánca megszakadt.
37,2023-01-13,Szenzorvezérlő-Beta,Az eszköz firmware-jének újraindítása sikertelen volt.
38,2023-01-13,Hegesztő-MAX,Az automatizált szoftverfrissítés során hibakódot jelezett.
39,2023-01-13,Fúró-X,Porfelhalmozódás az optikai szenzoron.
40,2023-01-14,Emelőkar-3,A motor túlmelegedett és leállt.
41,2023-01-14,Maró-Z,A motor túlmelegedett és leállt.
42,2023-01-14,Fúró-MAX,A szervomotor nem tartja a beállított pozíciót.
43,2023-01-15,Hidraulikus prés-4,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
44,2023-01-15,Hegesztő-1,Az olajszűrő rendszer eltömődött.
45,2023-01-15,Fúró-12,Az elektrohidraulikus szelep elakadt működés közben.
46,2023-01-16,Robot Delta,Hűtőrendszer meghibásodás jelentve.
47,2023-01-16,Optikai Mérő-2,A motor túlmelegedett és leállt.
48,2023-01-16,Optikai Mérő-X,A szállítószalag lánca megszakadt.
49,2023-01-17,Lézeres Vágó-A,A hőmérséklet meghaladja a biztonságos határt.
50,2023-01-17,Lézeres Vágó-Pro,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
51,2023-01-17,Hidraulikus prés-Y,A hőcserélő szivárog a csatlakozási pontnál.
52,2023-01-18,Szállítószalag-7,Az alkatrész érzékelő hibás adatokat továbbít.
53,2023-01-18,Szállítószalag-7,Az elektrohidraulikus szelep elakadt működés közben.
54,2023-01-18,Hegesztő-1,A kenőrendszer olajszintje az alsó határérték alá csökkent.
55,2023-01-19,Fúró-X,Igazítási probléma a robotkarban.
56,2023-01-19,Szenzorvezérlő-1,A motor túlmelegedett és leállt.
57,2023-01-19,Maró-Z,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
58,2023-01-20,Fúró-MAX,A láncmechanizmus meghibásodott.
59,2023-01-20,Présgép-9,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
60,2023-01-20,Fúró-12,A robotvezérlő és a mechanika szinkronizációja megszakadt.
61,2023-01-21,CNC-Micro,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
62,2023-01-21,Hidraulikus prés-10,A vibrációérzékelő határérték feletti értéket mutatott.
63,2023-01-21,Robot Alpha,Túlzott zaj a fogaskerék mechanizmusból.
